doi,short_name,uniprotkb,protein,genbank_id
10.1002.aic.16502,ACS1,Q01574,Acetyl-coenzyme A synthetase 1,XP_066243048.1
10.1002.aic.16502,CYC1,P00044,Cytochrome c isoform 1,XP_066204723.1
10.1002.aic.18361,Cns1,C7GUU9,Cns1p,CAL1764318.1
10.1002.bab.1216,budA,A0A3L0VYQ2,Alpha-acetolactate decarboxylase,WP_354656165.1
10.1002.bab.1216,budC,A0A3Q8G7Y4,diacetyl reductase [(S)-acetoin forming],DAA10125.1
10.1002.bab.1290,mcbR,A0A169S976,Transcriptional regulator,WP_354692910.1
10.1002.bab.1290,thrB,P07128,Homoserine kinase,WP_354683990.1
10.1002.bab.1452,metK,P0A817,S-adenosylmethionine synthase,WP_354690986.1
10.1002.bab.1684,nuoG,A0A086IX91,NADH-quinone oxidoreductase,WP_354692885.1
10.1002.bab.1684,nuoF,A0A087FIM7,NADH-quinone oxidoreductase subunit F,XAG59752.1
10.1002.bab.1684,nuoE,A0A087FIM6,NADH-quinone oxidoreductase subunit E,XCN72051.1
10.1002.bab.1684,nqrF,A0A0B7GFP7,Na(+)-translocating NADH-quinone reductase subunit F,WP_354624624.1
10.1002.bab.2443,pldA,P0A921,Phospholipase A1,XP_015613470.3
10.1002.bab.2443,mlaC,P0ADV7,Intermembrane phospholipid transport system binding protein MlaC,P0ADV7.1
10.1002.bab.2443,mlaA,P76506,Intermembrane phospholipid transport system lipoprotein MlaA,XCN40996.1
10.1002.bab.2443,lacI,P03023,Lactose operon repressor,WP_010493381.1
10.1002.bbb.1867,aroK,P0A6D7,Shikimate kinase 1,WP_354683391.1
10.1002.bbb.1867,ptsG,P69786,PTS system glucose-specific EIICB component,CAL4043268.1
10.1002.bbb.1867,ackA,P0A6A3,Acetate kinase,WP_354688381.1
10.1002.bbb.1867,aroL,P0A6E1,Shikimate kinase 2,XCO02624.1
10.1002.bbb.1867,ppsA,P23538,Phosphoenolpyruvate synthase,WP_354682286.1
10.1002.bbb.1867,tktA,P27302,Transketolase 1,WP_354690101.1
10.1002.biot.200900279,ldhA,P52643,D-lactate dehydrogenase,WP_354690256.1
10.1002.biot.200900279,ilvC,P05793,Ketol-acid reductoisomerase (NADP(+)),XAY05516.1
10.1002.biot.200900279,ilvB,P08142,Acetolactate synthase isozyme 1 large subunit,GMM64287.1
10.1002.biot.201100363,YAP1,P19880,AP-1-like transcription factor YAP1,P32337.2
10.1002.biot.201200046,adhE,P0A9Q7,Bifunctional aldehyde-alcohol dehydrogenase AdhE,P0A9Q7.2
10.1002.biot.201200046,ygfG,A0A0H3JI77,Enzyme,WP_354692904.1
10.1002.biot.201200046,ldhA,P52643,D-lactate dehydrogenase,WP_354690256.1
10.1002.biot.201200046,ppc,P00864,Phosphoenolpyruvate carboxylase,WP_354692337.1
10.1002.biot.201200046,maeB,P76558,NADP-dependent malic enzyme,WP_354691994.1
10.1002.biot.201200046,pck,P22259,Phosphoenolpyruvate carboxykinase (ATP),WP_354689259.1
10.1002.biot.201200316,thrB,P00547,Homoserine kinase,WP_354683990.1
10.1002.biot.201200316,ilvG,P0DP90,Acetolactate synthase isozyme 2 large subunit,XCN42507.1
10.1002.biot.201200367,lysE,P94633,Lysine exporter LysE,WP_354620197.1
10.1002.biot.201200367,tkt,A0A160PTS6,Transketolase,WP_354692635.1
10.1002.biot.201200367,icd,P50216,Isocitrate dehydrogenase [NADP],WP_354692863.1
10.1002.biot.201300153,fumC,P05042,Fumarate hydratase class II,WP_354691357.1
10.1002.biot.201300153,iclR,P16528,Transcriptional repressor IclR,XCO06021.1
10.1002.biot.201300153,fumA,P0AC33,"Fumarate hydratase class I, aerobic",TQR37089.1
10.1002.biot.201300153,fumB,P14407,"Fumarate hydratase class I, anaerobic",WP_354651532.1
10.1002.biot.201300263,aroK,P0A6D7,Shikimate kinase 1,WP_354683391.1
10.1002.biot.201400577,gdh,P12310,Glucose 1-dehydrogenase,WP_354692807.1
10.1002.biot.201400577,zwf,A0A0H3E3R4,Glucose-6-phosphate 1-dehydrogenase,XP_066165338.1
10.1002.biot.201400827,crtZ,A0A075W748,CrtZ,CAH8281530.1
10.1002.biot.201400827,idi,A0A7Z2S8F3,Isopentenyl-diphosphate Delta-isomerase,WP_354692386.1
10.1002.biot.201500508,SET5,P38890,Histone-lysine N-methyltransferase SET5,O65312.1
10.1002.biot.201500508,PPR1,P07272,Pyrimidine pathway regulatory protein 1,WP_024693980.1
10.1002.biot.201700191,ldh,A0A169S8E9,L-lactate dehydrogenase,WP_354691639.1
10.1002.biot.201700571,hns,P0ACF8,DNA-binding protein H-NS,WP_354690176.1
10.1002.biot.201700611,pheA,P0A9J8,Bifunctional chorismate mutase/prephenate dehydratase,XCO04699.1
10.1002.biot.201700611,aroF,P00888,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive",P0A1B6.1
10.1002.biot.201700611,uhpT,P0AGC0,Hexose-6-phosphate:phosphate antiporter,P0AGC2.1
10.1002.biot.201700611,aroB,P07639,3-dehydroquinate synthase,WP_354683390.1
10.1002.biot.201700611,aroL,P0A6E1,Shikimate kinase 2,XCO02624.1
10.1002.biot.202100097,LEU2,P18120,3-isopropylmalate dehydrogenase,WP_354685953.1
10.1002.biot.202100349,pyc,A0A0C5AH51,Pyruvate carboxylase,WP_354674127.1
10.1002.biot.202100349,ltbR,A0A169RVN5,Transcriptional regulator,WP_354692910.1
10.1002.biot.202100349,leuA,P42455,2-isopropylmalate synthase,WP_354692177.1
10.1002.biot.202100431,pta,P0A9M8,Phosphate acetyltransferase,WP_354690204.1
10.1002.biot.202100431,gdhA,P00370,NADP-specific glutamate dehydrogenase,WP_354691284.1
10.1002.biot.202100431,ilvD,P05791,Dihydroxy-acid dehydratase,WP_354688765.1
10.1002.biot.202100431,pck,P22259,Phosphoenolpyruvate carboxykinase (ATP),WP_354689259.1
10.1002.biot.202100431,cycA,P0AAE0,D-serine/D-alanine/glycine transporter,XCO02038.1
10.1002.biot.202100431,maeB,P76558,NADP-dependent malic enzyme,WP_354691994.1
10.1002.biot.202100579,GLY1,P37303,Low specificity L-threonine aldolase,WP_354683983.1
10.1002.biot.202100579,ILV6,P25605,"Acetolactate synthase small subunit, mitochondrial",NP_595907.1
10.1002.biot.202100579,MET2,P08465,Homoserine O-acetyltransferase,WP_354685891.1
10.1002.biot.202100579,PYK1,P00549,Pyruvate kinase 1,WP_354690261.1
10.1002.biot.202200641,rnpA,P0A7Y8,Ribonuclease P protein component,WP_354689165.1
10.1002.biot.202200641,AroG,A0AAD2UEQ1,3-deoxy-7-phosphoheptulonate synthase AroG,WP_354692551.1
10.1002.biot.202200641,eno,P0A6P9,Enolase,WP_354692699.1
10.1002.biot.202300056,erg2,S4VL25,C-8 sterol isomerase,KAL0640468.1
10.1002.biot.202300056,Pry1,C7GR34,Pry1p,CAL1763811.1
10.1002.biot.202300085,fryA,P77439,Multiphosphoryl transfer protein 1,BCF87261.1
10.1002.biot.202300085,mak,P23917,Fructokinase,WP_354691850.1
10.1002.biot.202300085,galE,P09147,UDP-glucose 4-epimerase,XAY08094.1
10.1002.biot.202300085,sgcC,P39365,Putative permease IIC component,CAB15865.1
10.1002.biot.202300085,fruA,P20966,PTS system fructose-specific EIIB'BC component,XP_066132768.1
10.1002.bit.10733,eda,P0A955,KHG/KDPG aldolase,KAL0453334.1
10.1002.bit.10735,GFP,A0A4D6FW43,GFP,WP_322456667.1
10.1002.bit.10735,ackA,P0A6A3,Acetate kinase,WP_354688381.1
10.1002.bit.1098,pfl,P09373,Formate acetyltransferase 1,GMM63204.1
10.1002.bit.1098,ldhA,P52643,D-lactate dehydrogenase,WP_354690256.1
10.1002.bit.1098,sfcA,A0A0H3PKH3,NAD-dependent malic enzyme,WP_354691994.1
10.1002.bit.20065,fadB,A0A024L7L5,Fatty acid oxidation complex subunit alpha,WP_354690188.1
10.1002.bit.20227,ibpA,P0C054,Small heat shock protein IbpA,XCO05725.1
10.1002.bit.20488,ytbQ,E0TXD5,Putative nucleoside-diphosphate-sugar epimerase,CAD6521750.1
10.1002.bit.20488,bioA,Q9KER7,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,XAY03906.1
10.1002.bit.20488,bioW,P53559,6-carboxyhexanoate--CoA ligase,WP_142508099.1
10.1002.bit.20488,bpr,P16397,Bacillopeptidase F,XCN08396.1
10.1002.bit.21073,adhE,P0A9Q7,Bifunctional aldehyde-alcohol dehydrogenase AdhE,P0A9Q7.2
10.1002.bit.21073,pta,P0A9M8,Phosphate acetyltransferase,WP_354690204.1
10.1002.bit.21117,glyA,P0A825,Serine hydroxymethyltransferase,WP_354689290.1
10.1002.bit.21216,erg9,P36596,Squalene synthase,WP_354686290.1
10.1002.bit.21216,dpp1,Q9UUA6,Probable diacylglycerol pyrophosphate phosphatase 1,Q9UUA6.1
10.1002.bit.21721,galU,P0AEP3,UTP--glucose-1-phosphate uridylyltransferase,WP_354680227.1
10.1002.bit.21721,pgm,P36938,Phosphoglucomutase,WP_354688980.1
10.1002.bit.21766,ERG9,P29704,Squalene synthase ERG9,DAA06882.1
10.1002.bit.21766,MET3,P08536,Sulfate adenylyltransferase,WP_354688420.1
10.1002.bit.21766,ERG20,P08524,Farnesyl pyrophosphate synthase,XP_066168481.1
10.1002.bit.21766,ERG2,P32352,C-8 sterol isomerase ERG2,KAL0640468.1
10.1002.bit.21976,dxs,P77488,1-deoxy-D-xylulose-5-phosphate synthase,WP_354684001.1
10.1002.bit.22060,pgi,P0A6T1,Glucose-6-phosphate isomerase,WP_354688646.1
10.1002.bit.22060,sucC,P0A836,Succinate--CoA ligase [ADP-forming] subunit beta,WP_354684949.1
10.1002.bit.22060,ndh,P00393,Type II NADH:quinone oxidoreductase,DAA10041.1
10.1002.bit.22119,thiL,P0AGG0,Thiamine-monophosphate kinase,XAY08415.1
10.1002.bit.22119,lacZ,P00722,Beta-galactosidase,WP_354691818.1
10.1002.bit.22119,argF,P06960,Ornithine carbamoyltransferase subunit F,C5A2H1.1
10.1002.bit.22502,speE,A0A0J8YQN8,Polyamine aminopropyltransferase,XCO02345.1
10.1002.bit.22502,argR,A0A0J8YN25,Arginine repressor,WP_336675198.1
10.1002.bit.22502,speC,Q58PU0,SpeC,XCO05041.1
10.1002.bit.22502,argE,A0A0J8YMW5,Acetylornithine deacetylase,WP_354690724.1
10.1002.bit.22548,ppc,P00864,Phosphoenolpyruvate carboxylase,WP_354692337.1
10.1002.bit.22548,adhE,P0A9Q7,Bifunctional aldehyde-alcohol dehydrogenase AdhE,P0A9Q7.2
10.1002.bit.22548,ackA,P0A6A3,Acetate kinase,WP_354688381.1
10.1002.bit.22548,ldhA,P52643,D-lactate dehydrogenase,WP_354690256.1
10.1002.bit.22560,ygfH,A0A0H3MKN1,Propionyl-CoA:succinate-CoA transferase,WP_353100957.1
10.1002.bit.22560,ygfG,A0A0H3JI77,Enzyme,WP_354692904.1
10.1002.bit.22560,sbm,A0A0F3V1G8,methylmalonyl-CoA mutase,WP_354686632.1
10.1002.bit.22918,speG,P0A951,Spermidine N(1)-acetyltransferase,XP_066213084.1
10.1002.bit.22918,ygjG,A0A024L9J0,Putrescine aminotransferase,XCO05151.1
10.1002.bit.22918,speE,P09158,Polyamine aminopropyltransferase,XCO02345.1
10.1002.bit.22918,dapA,P0A6L2,4-hydroxy-tetrahydrodipicolinate synthase,WP_354686028.1
10.1002.bit.22918,cadA,P0A9H3,Inducible lysine decarboxylase,WP_354688438.1
10.1002.bit.22984,ndh,P00393,Type II NADH:quinone oxidoreductase,DAA10041.1
10.1002.bit.22995,pta,P0A9M8,Phosphate acetyltransferase,WP_354690204.1
10.1002.bit.23044,ilvA,P04968,L-threonine dehydratase biosynthetic IlvA,XCN43895.1
10.1002.bit.23044,lacI,P03023,Lactose operon repressor,WP_010493381.1
10.1002.bit.23044,lrp,P0ACJ0,Leucine-responsive regulatory protein,WP_354691704.1
10.1002.bit.23069,ygfH,A0A0H3MKN1,Propionyl-CoA:succinate-CoA transferase,WP_353100957.1
10.1002.bit.23069,prpE,A0A037Y4W1,Acetyl-coenzyme A synthetase,XAY07663.1
10.1002.bit.23069,atoC,Q06065,Regulatory protein AtoC,BDS06217.1
10.1002.bit.23259,hydA,A0A0A1AEB2,D-phenylhydantoinase,XCO04941.1
10.1002.bit.24427,ldh,Q53560,Leucine dehydrogenase,WP_354678102.1
10.1002.bit.24509,Synpcc7942_0918,Q31PS1,Long-chain-fatty-acid CoA ligase,WP_354687268.1
10.1002.bit.24547,ERG20,P08524,Farnesyl pyrophosphate synthase,XP_066168481.1
10.1002.bit.24547,BTS1,Q12051,Geranylgeranyl pyrophosphate synthase BTS1,Q758K0.1
10.1002.bit.24758,thlA,P45359,Acetyl-CoA acetyltransferase,XCO04368.1
10.1002.bit.24828,cadA,P0A9H3,Inducible lysine decarboxylase,WP_354688438.1
10.1002.bit.24828,ldcC,P52095,Constitutive lysine decarboxylase,WP_354655567.1
10.1002.bit.24828,lysC,P08660,Lysine-sensitive aspartokinase 3,WP_354690522.1
10.1002.bit.24828,dapA,P0A6L2,4-hydroxy-tetrahydrodipicolinate synthase,WP_354686028.1
10.1002.bit.24888,ERG10,P41338,Acetyl-CoA acetyltransferase,XCO04368.1
10.1002.bit.24888,ALD6,P54115,"Magnesium-activated aldehyde dehydrogenase, cytosolic",P54115.4
10.1002.bit.24888,ADH2,P00331,Alcohol dehydrogenase 2,WP_354692328.1
10.1002.bit.24946,PDC1,P06169,Pyruvate decarboxylase isozyme 1,NP_001277043.1
10.1002.bit.24946,ENO2,P00925,Enolase 2,WP_354679046.1
10.1002.bit.24961,ppc,P12880,Phosphoenolpyruvate carboxylase,WP_354692337.1
10.1002.bit.24961,ldhA,Q6F5A8,L-lactate dehydrogenase,WP_354691639.1
10.1002.bit.24961,ilvD,A0A160PRZ9,Dihydroxy-acid dehydratase,WP_354688765.1
10.1002.bit.25124,fadE,Q47146,Acyl-coenzyme A dehydrogenase,WP_354523023.1
10.1002.bit.25124,tesA,P0ADA1,Thioesterase 1/protease 1/lysophospholipase L1,CAL1691347.1
10.1002.bit.25124,fadR,P0A8V6,Fatty acid metabolism regulator protein,XCO03366.1
10.1002.bit.25130,ispD,A3PJQ3,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,WP_354692222.1
10.1002.bit.25130,dxs,A0A2W5S5X0,1-deoxy-D-xylulose-5-phosphate synthase,WP_354684001.1
10.1002.bit.25130,dxr,A0A2W5SJS9,1-deoxy-D-xylulose 5-phosphate reductoisomerase,WP_354682295.1
10.1002.bit.25130,idi,A3PL07,Isopentenyl-diphosphate Delta-isomerase,WP_354692386.1
10.1002.bit.25234,RAD52,P06778,,WP_354692386.1
10.1002.bit.25239,POX1,P13711,Acyl-coenzyme A oxidase,XP_025878719.2
10.1002.bit.25239,FAA4,P47912,Long-chain-fatty-acid--CoA ligase 4,NP_956943.1
10.1002.bit.25239,FAA1,P30624,Long-chain-fatty-acid--CoA ligase 1,XP_066172979.1
10.1002.bit.25296,fabH,P0A6R0,Beta-ketoacyl-[acyl-carrier-protein] synthase III,WP_354691244.1
10.1002.bit.25296,prpE,A0A037Y4W1,Acetyl-coenzyme A synthetase,XAY07663.1
10.1002.bit.25345,tpi,P19583,Triosephosphate isomerase,XP_066214244.1
10.1002.bit.25488,CCW12,Q12127,Covalently-linked cell wall protein 12,Q14055.2
10.1002.bit.25488,PGK1,P00560,Phosphoglycerate kinase,WP_354684968.1
10.1002.bit.25498,ptsG,P69786,PTS system glucose-specific EIICB component,CAL4043268.1
10.1002.bit.25498,pflA,P0A9N4,Pyruvate formate-lyase 1-activating enzyme,QNT59638.2
10.1002.bit.25683,ERG9,P29704,Squalene synthase ERG9,DAA06882.1
10.1002.bit.25683,ERG20,P08524,Farnesyl pyrophosphate synthase,XP_066168481.1
10.1002.bit.25683,GDH2,P33327,NAD-specific glutamate dehydrogenase,WP_354688076.1
10.1002.bit.25683,gdh1,F8KA80,glutamate dehydrogenase (NADP(+)),WP_353672089.1
10.1002.bit.25699,thiE,P30137,Thiamine-phosphate synthase,WP_354692833.1
10.1002.bit.25717,sdaA,P16095,L-serine dehydratase 1,WP_354692860.1
10.1002.bit.25717,aldA,P25553,Lactaldehyde dehydrogenase,DAA10635.1
10.1002.bit.25717,eutB,P0AEJ6,Ethanolamine ammonia-lyase large subunit,GAA15426.1
10.1002.bit.25717,serB,P0AGB0,Phosphoserine phosphatase,WP_354688451.1
10.1002.bit.25717,serA,P0A9T0,D-3-phosphoglycerate dehydrogenase,XP_066233388.1
10.1002.bit.25717,serC,P23721,Phosphoserine aminotransferase,WP_322457686.1
10.1002.bit.25717,fucO,P0A9S1,Lactaldehyde reductase,WP_354692344.1
10.1002.bit.25856,FAA4,P47912,Long-chain-fatty-acid--CoA ligase 4,NP_956943.1
10.1002.bit.25856,FAA1,P30624,Long-chain-fatty-acid--CoA ligase 1,XP_066172979.1
10.1002.bit.25856,PTE1,P41903,Peroxisomal acyl-coenzyme A thioester hydrolase 1,XP_065955990.1
10.1002.bit.25864,ACC1,A0A2Z6EYS6,Acetyl-CoA carboxylase,WP_354692903.1
10.1002.bit.25864,DGA1,A0A191UMW0,Diacylglycerol O-acyltransferase,WP_322457743.1
10.1002.bit.25886,pta,P77844,Phosphate acetyltransferase,WP_354690204.1
10.1002.bit.25886,cat,Q712M7,Chloramphenicol acetyltransferase,WP_354684169.1
10.1002.bit.25886,pck,Q9AEM1,Phosphoenolpyruvate carboxykinase [GTP],WP_354689259.1
10.1002.bit.25886,ackA,P77845,Acetate kinase,WP_354688381.1
10.1002.bit.25886,ldhA,Q6F5A8,L-lactate dehydrogenase,WP_354691639.1
10.1002.bit.25886,ppc,P12880,Phosphoenolpyruvate carboxylase,WP_354692337.1
10.1002.bit.25886,pyc,A0A0C5AH51,Pyruvate carboxylase,WP_354674127.1
10.1002.bit.25886,gltA,P42457,Citrate synthase,WP_354690523.1
10.1002.bit.25934,ERG9,P29704,Squalene synthase ERG9,DAA06882.1
10.1002.bit.25978,adhB,A0A2B7LPE3,Alcohol dehydrogenase 2,WP_354692328.1
10.1002.bit.25978,adhE,P0A9Q7,Bifunctional aldehyde-alcohol dehydrogenase AdhE,P0A9Q7.2
10.1002.bit.25988,pta,Q65TV5,Phosphate acetyltransferase,WP_354690204.1
10.1002.bit.25988,ackA,Q65TV4,Acetate kinase,WP_354688381.1
10.1002.bit.25988,ldhA,Q65QS4,LdhA protein,XCO03526.1
10.1002.bit.26015,fucI,P69922,L-fucose isomerase,XCO04856.1
10.1002.bit.26015,fucK,P11553,L-fuculokinase,XCO04857.1
10.1002.bit.26015,lacZ,P00722,Beta-galactosidase,WP_354691818.1
10.1002.bit.260381109,ackA,P0A6A3,Acetate kinase,WP_354688381.1
10.1002.bit.260420906,ctfA,P33752,Acetoacetyl-CoA:acetate/butyrate CoA transferase alpha subunit,P33752.1
10.1002.bit.260420906,ctfB,P23673,Acetoacetyl-CoA:acetate/butyrate CoA-transferase beta subunit,
10.1002.bit.260420906,adc,P23670,Acetoacetate decarboxylase,WP_354684323.1
10.1002.bit.26211,odhA,Q8NRC3,2-oxoglutarate dehydrogenase E1/E2 component,XP_504044.2
10.1002.bit.26211,odhI,Q8NQJ3,Oxoglutarate dehydrogenase inhibitor,WP_284865168.1
10.1002.bit.26330,PDC1,P06169,Pyruvate decarboxylase isozyme 1,NP_001277043.1
10.1002.bit.26330,ADH1,P00330,Alcohol dehydrogenase 1,WP_354691552.1
10.1002.bit.26435,pta,Q65TV5,Phosphate acetyltransferase,WP_354690204.1
10.1002.bit.26435,ackA,Q65TV4,Acetate kinase,WP_354688381.1
10.1002.bit.26435,ldhA,Q65QS4,LdhA protein,XCO03526.1
10.1002.bit.26508,iclR,P16528,Transcriptional repressor IclR,XCO06021.1
10.1002.bit.26508,acs,P27550,Acetyl-coenzyme A synthetase,XAY07663.1
10.1002.bit.26508,aceA,P0A9G6,,XAY07663.1
10.1002.bit.26508,gltA,P0ABH7,,XAY07663.1
10.1002.bit.26528,pckA,P22259,Phosphoenolpyruvate carboxykinase (ATP),WP_354689259.1
10.1002.bit.26528,pta,P0A9M8,Phosphate acetyltransferase,WP_354690204.1
10.1002.bit.26528,ackA,P0A6A3,Acetate kinase,WP_354688381.1
10.1002.bit.26528,gltA,P0ABH7,Citrate synthase,WP_354690523.1
10.1002.bit.26528,fdh,A0A376MQB8,Putative Aldo/keto reductase,XP_066242724.1
10.1002.bit.26789,alsD,A0A1D9PPB5,Alpha-acetolactate decarboxylase,WP_354656165.1
10.1002.bit.26789,ilvH,A0A0A3VT01,Acetolactate synthase small subunit,WP_354688763.1
10.1002.bit.26789,pdhA,P21881,Pyruvate dehydrogenase E1 component subunit alpha,WP_354687835.1
10.1002.bit.26789,ilvB,P37251,Acetolactate synthase large subunit,WP_354692504.1
10.1002.bit.26789,leuA,A0A0A0WSX2,2-isopropylmalate synthase,WP_354692177.1
10.1002.bit.26789,bcaP,O07576,Branched-chain amino acid permease BcaP,WP_232566717.1
10.1002.bit.26789,ilvA,A0A0A0YFD8,L-threonine dehydratase,XCN43895.1
10.1002.bit.26789,ybgE,A0A9P1JE93,Branched-chain-amino-acid aminotransferase,WP_354684651.1
10.1002.bit.26789,ilvD,A0A0D1IPM8,Dihydroxy-acid dehydratase,WP_354688765.1
10.1002.bit.26789,comK,P40396,Competence transcription factor,WP_142509104.1
10.1002.bit.26789,comS,P80355,Competence protein S,WP_285955305.1
10.1002.bit.26789,alsS,Q04789,Acetolactate synthase,WP_354692504.1
10.1002.bit.26789,ywaA,D4G351,Branched-chain-amino-acid aminotransferase,WP_354684651.1
10.1002.bit.26797,aroP,P15993,Aromatic amino acid transport protein AroP,CAL5246350.1
10.1002.bit.26797,tyrR,P07604,HTH-type transcriptional regulatory protein TyrR,CAL5246336.1
10.1002.bit.26797,tyrP,P0AAD4,Tyrosine-specific transport system,P0AAD4.1
10.1002.bit.26797,aroL,P0A6E1,Shikimate kinase 2,XCO02624.1
10.1002.bit.26797,tyrA,P07023,T-protein,WP_354689847.1
10.1002.bit.26797,aroG,P0AB91,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive",P0AB91.1
10.1002.bit.26800,GTH1,F2QLA1,High affinity glucose transporter,KAL0637319.1
10.1002.bit.26818,proB,A0A0S2T8V0,Glutamate 5-kinase,WP_354685557.1
10.1002.bit.26818,sucC,A0A160PT48,Succinate--CoA ligase [ADP-forming] subunit beta,WP_354684949.1
10.1002.bit.26976,URA3,A4Z4U5,Orotidine 5'-phosphate decarboxylase,WP_354690662.1
10.1002.bit.26981,katE,P21179,Catalase HPII,XCO03909.1
10.1002.bit.26981,sodA,P00448,Superoxide dismutase [Mn],WP_354692311.1
10.1002.bit.26981,sodC,P0AGD1,Superoxide dismutase [Cu-Zn],WP_354692311.1
10.1002.bit.26981,sodB,P0AGD3,Superoxide dismutase [Fe],WP_354692311.1
10.1002.bit.27082,pyk,Q46078,Pyruvate kinase,WP_354688665.1
10.1002.bit.27082,pyc,A0A0C5AH51,Pyruvate carboxylase,WP_354674127.1
10.1002.bit.27082,hom,P08499,Homoserine dehydrogenase,WP_354689585.1
10.1002.bit.27082,ppc,P12880,Phosphoenolpyruvate carboxylase,WP_354692337.1
10.1002.bit.27082,pgi,A0A160PPF4,Glucose-6-phosphate isomerase,WP_354688646.1
10.1002.bit.27082,zwf,A0A0U4QBW7,Glucose-6-phosphate 1-dehydrogenase,XP_066165338.1
10.1002.bit.27082,lysC,P26512,Aspartokinase,WP_354690522.1
10.1002.bit.27103,HSP30,P25619,30 kDa heat shock protein,XP_066154453.1
10.1002.bit.27103,PMA1,P05030,Plasma membrane ATPase 1,WP_286643251.1
10.1002.bit.27148,GFP,A0A4D6FW43,GFP,WP_322456667.1
10.1002.bit.27284,ERG20,P08524,Farnesyl pyrophosphate synthase,XP_066168481.1
10.1002.bit.27284,ERG13,P54839,Hydroxymethylglutaryl-CoA synthase,WP_306402912.1
10.1002.bit.27354,gabD,P25526,Succinate-semialdehyde dehydrogenase [NADP(+)] GabD,WP_354684406.1
10.1002.bit.27354,aceB,P08997,Malate synthase A,WP_354692864.1
10.1002.bit.27354,ptsG,P69786,PTS system glucose-specific EIICB component,CAL4043268.1
10.1002.bit.27354,yneI,A0A0H2V7D8,Aldehyde-dehydrogenase like protein yneI,WMN41539.1
10.1002.bit.27354,sucD,P0AGE9,Succinate--CoA ligase [ADP-forming] subunit alpha,WP_354684950.1
10.1002.bit.27370,PDC1,P06169,Pyruvate decarboxylase isozyme 1,NP_001277043.1
10.1002.bit.27370,PHA2,P32452,Probable prephenate dehydratase,P27603.2
10.1002.bit.27450,pta,P0A9M8,Phosphate acetyltransferase,WP_354690204.1
10.1002.bit.27450,poxB,P07003,Pyruvate dehydrogenase [ubiquinone],WP_354691852.1
